Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature, Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Duration before death contraction end (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,7.69531,0.0416667,0.125,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,8.15365,0.5,0.125,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,12.487,0.833333,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,14.3203,2.5,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,14.4453,1.54167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,15.4453,0.0833333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,15.7786,1.04167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,16.0286,1.41667,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,16.112,0.541667,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,16.4453,2.875,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,17.9453,0.166667,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,18.0286,1.875,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,18.362,2,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,20.112,2.375,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,20.487,1.91667,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,21.0703,1.08333,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,21.362,1.95833,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,22.0286,2.625,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,22.1536,4.5,0.0416667,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,22.9453,9.375,0,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,22.9453,2.79167,0,,0,,,Storyboard Annotation,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,26.6536,5.54167,0.0833333,,0,,,Automated Analysis,Lifespan Machine,,
Cerberus,CENDR_012119_1,Cerberus_a::2,JU2526::Rep(4)::Total(49)::20::OP50-1,a::2,2,a,1.08594,5.52031,1.81563,1.87187,JU2526,,,4,49,20,20,OP50-1,,,,,1,27.4453,5.70833,0,,0,,,Storyboard Annotation,Lifespan Machine,,
