Device,Experiment,Replicate,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition1,Condition2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Ageofdeath,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Age at Death-Associated Posture Relaxation Start (d),Age at Death-Associated Posture Relaxation End (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type,Special Flag
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,13.2149,49710.2,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,17.2774,2.79167,0,17.3608,19.6108,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,18.8608,5.29167,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,18.9441,5.20833,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,19.5274,4,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,22.4024,6.70833,0,22.8608,24.0274,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,22.5274,1.20833,0,22.3608,23.0274,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,27.9441,6.66667,0,33.1108,33.7358,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,28.3608,4.875,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,29.6108,15,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,29.7358,5.95833,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,30.2774,1.79167,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,31.6524,8.5,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,31.7774,9.58333,0,31.6941,33.4024,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_c::0,PX632::mated::equal::23::20::OP50-1,c::0,0,c,4.09375,1.01563,1.80625,1.875,PX632,,mated,equal,23,20,20,OP50-1,,,,,1,32.9858,4.5,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,9.01703,0.416667,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,9.80869,0.791667,0,13.1004,13.892,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,11.8504,2.75,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,18.767,2.45833,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,19.6004,5.20833,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,19.6004,7.54167,0.0416667,19.6004,21.267,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,19.642,3.58333,0,19.9337,22.4337,0,,,Storyboard Annotation,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,19.6837,0.708333,0.0416667,19.642,21.1837,0,,,Automated Analysis,Lifespan Machine,,,
Vega,RL_010419,2,Vega_b::0,JK574::mated::skew::49::20::OP50-1,b::0,0,b,2.11406,1.13906,1.80937,1.87813,JK574,,mated,skew,49,20,20,OP50-1,,,,,1,19.6837,6.83333,0.0416667,,,0,,,Automated Analysis,Lifespan Machine,,,
