Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature, Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d),Duration Not Fast Moving (d),Longest Gap in Measurement (d),Age at Death-Associated Posture Relaxation Start (d),Age at Death-Associated Posture Relaxation End (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type, Special Flag,All
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,14.0123,1.29167,0,14.4707,15.7623,0,,,Storyboard Annotation,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,14.804,1.33333,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,15.054,1.375,0,16.0957,16.7207,0,,,Storyboard Annotation,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,15.2623,1.875,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,15.5123,0.291667,0,,,0,,,Storyboard Annotation,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,15.7207,2.375,0,16.5123,17.0957,0,,,Storyboard Annotation,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,15.929,0.5,0.0416667,17.1373,18.1373,0,,,Automated Analysis,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,16.3873,0.875,0,31.0957,32.6373,0,,,Storyboard Annotation,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,16.429,0.958333,0.0416667,16.5957,17.9707,0,,,Automated Analysis,Lifespan Machine,,,,virgin_null
Polaris,RL_031719,Polaris_a::0,PX632::virgin::null::57::20::OP50-1,a::0,0,a,1.04844,1.02656,1.80313,1.84688,PX632,,virgin,null,57,20,20,OP50-1,,,,,1,16.679,1,0,,,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,,,virgin_null
