Device,Replicate,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Duration before death contraction end (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,30.2241,4.66667,0.0833333,0,1,Objects apparently moving at termination of measurement,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,12.8491,0.708333,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,16.0575,1.04167,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,16.7658,2.25,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,17.8908,3.66667,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,20.6616,49709.7,0,0,0,,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,20.6616,49709.7,0,0,0,,Induced Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,21.9741,6.33333,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,22.8491,1.70833,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,23.5991,2.45833,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
